audio_path,placa,electrodo,corriente,sesion,segment_index,segment_duration,overlap_ratio
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,0,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,1,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,2,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,3,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,4,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,5,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,6,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,7,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,8,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,9,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,10,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,11,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,12,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,13,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,14,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,15,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,16,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,17,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,18,5.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,19,5.0,0.5
Placa_6mm/E6013/AC/240923-131855_Audio/240923-131855_6013-2.wav,Placa_6mm,E6013,AC,240923-131855_Audio,0,5.0,0.5
Placa_6mm/E6013/AC/240923-131855_Audio/240923-131855_6013-2.wav,Placa_6mm,E6013,AC,240923-131855_Audio,1,5.0,0.5
Placa_6mm/E6013/AC/240923-131855_Audio/240923-131855_6013-2.wav,Placa_6mm,E6013,AC,240923-131855_Audio,2,5.0,0.5
Placa_6mm/E6013/AC/240923-131855_Audio/240923-131855_6013-2.wav,Placa_6mm,E6013,AC,240923-131855_Audio,3,5.0,0.5
Placa_6mm/E6013/AC/240923-131855_Audio/240923-131855_6013-2.wav,Placa_6mm,E6013,AC,240923-131855_Audio,4,5.0,0.5
Placa_6mm/E6013/AC/240923-131855_Audio/240923-131855_6013-2.wav,Placa_6mm,E6013,AC,240923-131855_Audio,5,5.0,0.5
Placa_6mm/E6013/AC/240923-131855_Audio/240923-131855_6013-2.wav,Placa_6mm,E6013,AC,240923-131855_Audio,6,5.0,0.5
